commune,code_departement,dmaj,insee,region,departement,commune_1,appellation_courante,adresse_1,siecle,date_de_protection,precision_sur_la_protection,auteur,statut,description,historique,affectataire,adresse,ancienne_region,reference,contact,longitude,latitude,coordonnees,x_commune_code,x_commune_name,x_epci_code,x_epci_name,x_arrondissement_code,x_arrondissement_name,x_departement_code,x_departement_name,x_region_code,x_region_name
Ambierle,42,2021-02-02,42003,Auvergne-Rhône-Alpes,Loire,Ambierle,Ancien prieuré Saint-Martin d'Ambierle,,15e siècle,1840 : classé MH ; 2010/04/22 : inscrit MH ; 2011/11/25 : classé MH,"L'église Saint-Martin : classement par liste de 1840 - Les façades et les toitures des anciens communs (cad. A 207) : inscription par arrêté du 22 avril 2010 - Le prieuré incluant tous ses anciens bâtiments : logis, communs, hôtellerie et hospice ainsi que les parcelles sur lesquelles il se trouve, soit : les façades et les toitures du prieuré (ancien logis), la totalité du rez-de-chaussée avec son escalier d'honneur, l'ancien logis du prieur situé au premier étage avec ses décors, le tout situé dans l'aile est (cad. A 2636) ; l'aile sud, avec en totalité les bâtiments de l'ancien hôpital et de l'ancienne hôtellerie, avec leurs décors peints (cad. A 2613, 202, 201) ; en totalité : les bâtiments du réfectoire et les galeries du cloître (cad. A 2615, 2616, 2171, 2172) ; les façades et les toitures des anciens communs (cad. A 2170) : classement par arrêté du 25 novembre 2011",,propriété de la commune ; propriété privée,,"Le prieuré est dominé par l'église Saint-Martin qui occupe toute la partie nord sur un plan en croix. Il s'agit d'un édifice de style gothique construit entre 1450 et 1480. Longeant le bas-côté et le transept, deux chapelles, un vestibule et la sacristie bordaient la partie nord du cloître. Ces bâtiments existent toujours. La partie est abritait le dortoir, agrandi en 1753. L'ancien logis était implanté précédemment au nord de l'église. Au premier étage de cet ancien logis, une pièce est ornée de boiseries et de dominos de papier peint. Le préau du cloître, de plan carré, est entouré de deux autres bâtiments. Au sud, les édifices mentionnés avant 1753 se composaient du réfectoire ainsi que de la cuisine et d'un escalier en vis. Ils furent transformés en écuries et en communs avant d'être désaffectés au 20ème siècle. De nombreux éléments datant au moins du 15ème siècle restent inchangés et toujours visibles. De part et d'autre de l'escalier en vis se trouvaient un grenier au nord, et un pressoir et un cuvage au sud, transformés au 19ème siècle en maisons. L'ancienne mairie abrite des peintures murales et une pièce du deuxième étage est décorée de motifs floraux, probablement du 14ème siècle. Du rez-de-chaussée au premier étage, le thème des neufs preux se déploie sur les murs. Cette portion du rempart abritait selon un plan du 18ème siècle, l'infirmerie et l'hôtellerie.",,Eglise (rue de l') ; Mairie (rue de la),Anciennement région de : Rhône-Alpes,PA00117423,mediatheque.patrimoine@culture.gouv.fr,3.89568338882715,46.1041794318992,"46.1041794318992,3.89568338882715",42003,Ambierle,200035731,CA du Roannais,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Apinac,42,2021-02-02,42006,Auvergne-Rhône-Alpes,Loire,Apinac,Croix,,16e siècle,1949/12/16 : inscrit MH,Croix du 16e siècle sise en face de la porte du rempart : inscription par arrêté du 16 décembre 1949,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117424,mediatheque.patrimoine@culture.gouv.fr,3.99516409435189,45.3802695278392,"45.3802695278392,3.99516409435189",42006,Apinac,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Arthun,42,2021-02-02,42009,Auvergne-Rhône-Alpes,Loire,Arthun,Domaine de Beauvoir,,4e quart 18e siècle,1990/09/04 : inscrit MH ; 2007/07/04 : inscrit MH,"Le château ; le chenil ; la glacière ; l'éolienne (cad. B 248, 264 à 266) : inscription par arrêté du 4 septembre 1990 - Le château en totalité, le parc en totalité avec le mur d'enclos, les communs, le chenil, l'éolienne et les plans d'eau (cad. B 242 à 245, 247, 248, 250, 261, 264 à 274, 1168, 1171, 1173, 1175, 1176, 1178, 1179, 1181, 1333, 1335, 1338, 1339, 1342, 239, 1169, 1170, lieudit Beauvoir) : inscription par arrêté du 4 juillet 2007",Del Gabbio Michel (architecte),propriété de la commune ; propriété privée,,"Du château primitif subsistent des traces de fossés et de fondations. Vers 1780, la maison du 16e siècle est remplacée par un château de style Louis XVI, construit par l'architecte italien Pietro Antonio Gabbio. Au 19e siècle, construction du deuxième étage avec le lanternon, aménagement du parc à l'anglaise, construction d'une terrasse devant le château. Présence en décor intérieur d'un papier peint rare représentant un paysage panoramique. Il s'agit du ""Brésil"", édité par la manufacture parisienne Desfossé en 1861-1862, sur les dessins de Fucks.",,,Anciennement région de : Rhône-Alpes,PA00117683,mediatheque.patrimoine@culture.gouv.fr,4.03155565164128,45.7681216208298,"45.7681216208298,4.03155565164128",42009,Arthun,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Bard,42,2021-02-02,42012,Auvergne-Rhône-Alpes,Loire,Bard,Eglise Saint-Jean,,2e moitié 15e siècle;1er quart 17e siècle;3e quart 19e siècle,1991/11/19 : inscrit MH,Eglise Saint-Jean (cad. C 45) : inscription par arrêté du 19 novembre 1991,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117694,mediatheque.patrimoine@culture.gouv.fr,4.01026646341696,45.5869414248813,"45.5869414248813,4.01026646341696",42012,Bard,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Bellegarde-en-Forez,42,2021-02-02,42013,Auvergne-Rhône-Alpes,Loire,Bellegarde-en-Forez,Château,,15e siècle;2e moitié 16e siècle;4e quart 19e siècle,1987/02/19 : inscrit MH partiellement,"Façades et toitures des ailes Ouest et Sud ; portail d'entrée de la cour à l'Ouest ; restes de la porte Baudin ; cheminée datée de 1597 ; pièce du premier étage située au-dessus du grand hall (cad. A 509, 524) : inscription par arrêté du 19 février 1987",,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117425,mediatheque.patrimoine@culture.gouv.fr,4.30331754278769,45.6459940306144,"45.6459940306144,4.30331754278769",42013,Bellegarde-en-Forez,200065894,CC de Forez-Est,421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Bellegarde-en-Forez,42,2021-02-02,42013,Auvergne-Rhône-Alpes,Loire,Bellegarde-en-Forez,Maison dite de Javogues,,,1947/07/21 : inscrit MH partiellement,Porte et ses vantaux et l'écusson qui la surmonte : inscription par arrêté du 21 juillet 1947,,propriété privée,,,,,Anciennement région de : Rhône-Alpes,PA00117426,mediatheque.patrimoine@culture.gouv.fr,4.29951684467154,45.6486738498635,"45.6486738498635,4.29951684467154",42013,Bellegarde-en-Forez,200065894,CC de Forez-Est,421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Bénisson-Dieu (La),42,2021-02-02,42016,Auvergne-Rhône-Alpes,Loire,La Bénisson-Dieu,Abbaye (ancienne),,12e siècle;15e siècle;17e siècle,1840 : classé MH,Abbaye (ancienne) : classement par liste de 1840,,Propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117427,mediatheque.patrimoine@culture.gouv.fr,4.04514180640017,46.1512157867823,"46.1512157867823,4.04514180640017",42016,La Bénisson-Dieu,200035202,CC du Pays de Charlieu Belmont,422,Roanne,42,Loire,84,Auvergne-Rhône-Alpes
Boën,42,2020-11-17,42019,Auvergne-Rhône-Alpes,Loire,Boën,Château-Chabert,,4e quart 18e siècle,1943/09/09 : classé MH ; 1989/11/16 : inscrit MH partiellement,Château (cad. AL 602) : classement par arrêté du 9 septembre 1943 ; Cour d'honneur ; pavillons d'angle ; grille d'entrée (cad. AL 602) : inscription par arrêté du 16 novembre 1989,GABBIO Pietro-Antonio (maître de l'oeuvre),propriété de la commune,,,,,Anciennement commune de : Boen Sur Lignon. Anciennement région de : Rhône-Alpes,PA00117428,mediatheque.patrimoine@culture.gouv.fr,,,,42019,Boën-sur-Lignon,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Bonson,42,2021-02-02,42022,Auvergne-Rhône-Alpes,Loire,Bonson,Chapelle Notre-Dame,,11e siècle;16e siècle,1987/11/03 : inscrit MH,Chapelle Notre-Dame (cad. A 698) : inscription par arrêté du 3 novembre 1987,,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117429,mediatheque.patrimoine@culture.gouv.fr,4.24109332909089,45.5198321740447,"45.5198321740447,4.24109332909089",42022,Bonson,200065886,CA Loire Forez Agglomération (LFA),421,Montbrison,42,Loire,84,Auvergne-Rhône-Alpes
Bourg-Argental,42,2020-11-17,42023,Auvergne-Rhône-Alpes,Loire,Bourg-Argental,Eglise,,1ère moitié 12e siècle,1840 : classé MH,"Le portail, y compris les colonnes latérales : classement par liste de 1840 et par décret du 19 novembre 1947",,propriété de la commune,,,,,Anciennement région de : Rhône-Alpes,PA00117430,mediatheque.patrimoine@culture.gouv.fr,,,,42023,Bourg-Argental,244200622,de la Déôme,423,Saint-Ãtienne,42,Loire,84,Auvergne-Rhône-Alpes
